2018-03-08 14:48:02,083 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/alele/_tech/_codeBase/_cassandra/CassandraSamples/src/test/resources
2018-03-08 14:48:13,342 [main] INFO  o.e.m2e.actions.ExecutePomAction - Using existing launch configuration
2018-03-08 14:48:13,471 [Worker-2] INFO  o.e.m.i.launch.MavenLaunchDelegate - /home/alele/_tech/_codeBase/_cassandra/CassandraSamples
2018-03-08 14:48:13,471 [Worker-2] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B clean install
2018-03-08 14:49:10,205 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-08 14:49:10,206 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/alele/_tech/_codeBase/_cassandra/CassandraSamples/src/main/resources
2018-03-08 14:49:10,208 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-08 14:49:10,208 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/alele/_tech/_codeBase/_cassandra/CassandraSamples/src/test/resources
2018-03-08 14:49:28,828 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-08 14:49:28,829 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/alele/_tech/_codeBase/_cassandra/CassandraSamples/src/main/resources
2018-03-08 14:49:28,830 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-08 14:49:28,830 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/alele/_tech/_codeBase/_cassandra/CassandraSamples/src/test/resources
2018-03-08 14:49:38,976 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-08 14:49:38,976 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/alele/_tech/_codeBase/_cassandra/CassandraSamples/src/main/resources
2018-03-08 14:49:38,978 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-08 14:49:38,978 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/alele/_tech/_codeBase/_cassandra/CassandraSamples/src/test/resources
2018-03-08 14:49:46,757 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-08 14:49:46,758 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/alele/_tech/_codeBase/_cassandra/CassandraSamples/src/main/resources
2018-03-08 14:49:46,761 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-08 14:49:46,762 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/alele/_tech/_codeBase/_cassandra/CassandraSamples/src/test/resources
2018-03-08 14:51:00,525 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-08 14:51:00,526 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/alele/_tech/_codeBase/_cassandra/CassandraSamples/src/main/resources
2018-03-08 14:51:00,527 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-08 14:51:00,528 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/alele/_tech/_codeBase/_cassandra/CassandraSamples/src/test/resources
2018-03-08 14:51:31,454 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-08 14:51:31,455 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/alele/_tech/_codeBase/_cassandra/CassandraSamples/src/main/resources
2018-03-08 14:51:31,456 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-08 14:51:31,457 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/alele/_tech/_codeBase/_cassandra/CassandraSamples/src/test/resources
2018-03-08 14:51:44,265 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-08 14:51:44,266 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/alele/_tech/_codeBase/_cassandra/CassandraSamples/src/main/resources
2018-03-08 14:51:44,268 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-08 14:51:44,268 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/alele/_tech/_codeBase/_cassandra/CassandraSamples/src/test/resources
2018-03-08 14:52:14,620 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-08 14:52:14,621 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/alele/_tech/_codeBase/_cassandra/CassandraSamples/src/main/resources
2018-03-08 14:52:14,624 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-08 14:52:14,625 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/alele/_tech/_codeBase/_cassandra/CassandraSamples/src/test/resources
2018-03-08 14:52:52,043 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-08 14:52:52,044 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/alele/_tech/_codeBase/_cassandra/CassandraSamples/src/main/resources
2018-03-08 14:52:52,045 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-08 14:52:52,045 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/alele/_tech/_codeBase/_cassandra/CassandraSamples/src/test/resources
2018-03-08 14:53:23,445 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-08 14:53:23,445 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/alele/_tech/_codeBase/_cassandra/CassandraSamples/src/main/resources
2018-03-08 14:53:23,446 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-08 14:53:23,447 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/alele/_tech/_codeBase/_cassandra/CassandraSamples/src/test/resources
2018-03-08 14:53:40,295 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
